File Name,File1,File3,File4,File5,File6,File7,File8,File9,Lines,Statements,% Branches,Calls,% Comments,Classes,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,num_of_tests,num_of_passed_tests,num_of_failed_tests,In_DegreeCentrality4Data,out_DegCentrality4Data,In_degCentrality4Call,Out_degCentrality4Call,CBO,IFC(Information Flow complexity),Density,Diversity,Uniqueness,DDU,No of Modified ,No of Chunks,No of Failing tests,No of Repair Actions,Exception Type,label
1,com,google,javascript,jscomp,RemoveUnusedVars.java,,,,998,392,28.8,268,30.6,4,7.75,10.29,34,8,3.33,5.42,374,8,366,1,12,0,0,13,154.29,0.394240772,0.999798207,0.202538248,0.079832722,1,8,2,1,2,Bad
2,com,google,javascript,jscomp,TypeCheck.java,,,,2009,880,39.4,633,19.8,1,42,18.05,70,7,3.02,7.95,6758,1,6757,1,1,0,0,2,19.05,0.353052766,0,0.00014828,0,3,1,3,2,18,Bad
3,com,google,javascript,jscomp,FlowSensitiveInlineVariables.java,,,,539,198,24.7,130,29.9,8,2.38,7.89,38,9,3.76,6.84,358,3,355,1,20,0,0,21,407.89,0.46829385,0.999779687,0.208314299,0.097530813,3,3,10,2,2,Bad
4,com,google,javascript,rhino,jstype,NamedType.java,,,400,154,20.8,79,30.3,2,11,5.09,10,5,2.12,2.91,6883,3,6880,1,2,0,4,7,41.09,0.3402213,0.999939584,0.512795751,0.174453497,2,3,2,3,2,Bad
5,com,google,javascript,jscomp,InlineObjectLiterals.java,,,,472,185,24.9,159,30.1,3,4,12.5,18,8,3.58,5.25,314,1,313,1,17,0,1,19,336.5,0.467477109,0.999733759,0.215650353,0.100784763,1,1,3,1,2,Bad
6,com,google,javascript,jscomp,TypeValidator.java,,,,832,277,23.8,228,31.6,2,19,5,19,6,2.23,3.82,6674,3,6671,2,6,0,0,8,149,0.342060277,0.999943635,0.47749274,0.163322093,4,3,2,2,2,Bad
7,com,google,javascript,jscomp,type,ChainableReverseAbstractInterpreter.java,,,718,288,15.3,115,20.9,7,11,2.19,10,6,2.46,1.55,6648,2,6646,0,0,0,0,0,2.19,0.351958672,0.999938666,0.483561245,0.170183135,3,2,5,3,2,Bad
8,com,google,javascript,jscomp,CollapseVariableDeclarations.java,,,,250,99,18.2,62,32.8,3,2.67,8.75,12,6,2.74,3.88,282,1,281,0,6,1,0,7,44.75,0.490295673,0.999694967,0.213376659,0.104585741,2,1,4,1,2,Bad
9,com,google,javascript,jscomp,ProcessCommonJSModules.java,,,,287,118,13.6,112,23.7,3,5.33,4.81,8,6,2.5,2.44,117,1,116,0,0,0,0,0,4.81,0.542773431,0.997001499,0.225023343,0.121770465,2,1,5,2,6,Bad
10,com,google,javascript,jscomp,NodeUtil.java,,,,3229,1603,58.6,750,27.1,11,15.09,8.36,426,7,2.89,6.81,6516,1,6515,3,2,0,0,5,44.36,0.350152589,0.999944017,0.473994638,0.165961158,1,1,2,2,2,Bad
