File Name,Lines,Max Complexity,Max Depth,num_of_tests,num_of_passed_tests,num_of_failed_tests,CBO,IFC(Information Flow complexity),Density,Diversity,Uniqueness,DDU,No of Modified ,No of Chunks,No of Failing tests,No of Repair Actions,Exception Type,label
Closure_1,998,34,8,374,8,366,13,154.29,0.394240772,0.999798207,0.202538248,0.079832722,1,8,2,1,2,Bad
2,2009,70,7,6758,1,6757,2,19.05,0.353052766,0,0.00014828,0,3,1,3,2,18,Bad
3,539,38,9,358,3,355,21,407.89,0.46829385,0.999779687,0.208314299,0.097530813,3,3,10,2,2,Bad
4,400,10,5,6883,3,6880,7,41.09,0.3402213,0.999939584,0.512795751,0.174453497,2,3,2,3,2,Bad
5,472,18,8,314,1,313,19,336.5,0.467477109,0.999733759,0.215650353,0.100784763,1,1,3,1,2,Bad
6,832,19,6,6674,3,6671,8,149,0.342060277,0.999943635,0.47749274,0.163322093,4,3,2,2,2,Bad
7,718,10,6,6648,2,6646,0,2.19,0.351958672,0.999938666,0.483561245,0.170183135,3,2,5,3,2,Bad
8,250,12,6,282,1,281,7,44.75,0.490295673,0.999694967,0.213376659,0.104585741,2,1,4,1,2,Bad
9,287,8,6,117,1,116,0,4.81,0.542773431,0.997001499,0.225023343,0.121770465,2,1,5,2,6,Bad
10,3229,426,7,6516,1,6515,5,44.36,0.350152589,0.999944017,0.473994638,0.165961158,1,1,2,2,2,Bad
11,1921,64,7,6586,2,6584,12,138.46,0.348784358,0.999942734,0.472029703,0.164627149,1,2,3,1,2,Bad
12,302,22,6,351,1,350,1,6.13,0.477662217,0.999738027,0.207810321,0.099237134,1,1,6,2,2,Bad
13,211,5,5,608,1,607,0,3.88,0.341548903,0.999586779,0.246840291,0.084273193,2,1,1,2,2,Bad
14,1058,30,7,3339,3,3336,17,910.29,0.435580538,0.999931648,0.400417827,0.174402291,1,3,2,3,2,Bad
15,501,36,9,333,1,332,8,151.89,0.473784211,0.999782915,0.206872038,0.097991428,1,1,3,1,2,Bad
16,484,18,7,390,2,388,3,10.46,0.476601246,0.999591326,0.220947847,0.105260984,5,2,8,3,2,Good
17,2026,29,9,6539,1,6538,14,1099.56,0.348855404,0,0.000153186,0,2,1,5,2,6,Bad
